chemical,medical,computers,internet,electrical,mechanical
acid,antibiot,databas,broadband,electrod,attach
reaction,antibodi,pixel,client,rfid,bolt
catalyst,balloon,program,host,nmr,motor
sulfur,biolog,binari,internet,radio,clamp
dye,biosensor,chip,metadata,light,cylind
oil,cancer,comput,multimedia,inductor,engin
plastic,cathet,cpu,packet,conduct,flang
resin,dna,softwar,rout,capacitor,fuel
salt,graft,telephon,server,semiconductor,gear
epoxi,diseas,transduc,,,pump
electrolyt,dose,transceiv,,,refriger
ethyl,virus,transistor,,,rotor
solvent,insul,transmiss,,,screw
solut,diabet,toner,,,seal
,,,,,socket
,,,,,swivel
,,,,,valv
,,,,,wheel
